map,ore_scope,objective,builders,safe_ores,initially_visible_safe_ores,conveyor_tiles,first_harvester_round,first_delivery_round,all_harvesters_round,all_first_delivery_round,titanium_mined_100,titanium_mined_250,titanium_mined_500,titanium_mined_1000,titanium_stored_100,titanium_stored_250,titanium_stored_500,titanium_stored_1000,total_builder_cost,total_harvester_cost,total_conveyor_cost,total_capex,resource_delay_rounds
strait,initially_visible,income,4,6,2,6,7,10,8,11,460,1200,2460,4960,951,2071,3951,7701,156,75,28,259,0
strait,initially_visible,makespan,4,6,2,6,7,10,8,11,460,1200,2460,4960,951,2071,3951,7701,156,75,28,259,0
twins,all_safe,income,1,6,3,55,7,10,153,171,690,2730,6480,13980,1149,3404,7774,16524,30,184,242,456,0
twins,all_safe,makespan,1,6,3,55,7,10,153,171,690,2730,6480,13980,1149,3404,7774,16524,30,184,242,456,0
twins,all_safe,income,2,6,3,55,7,10,77,93,870,3120,6870,14370,1066,3696,8066,16816,66,213,275,554,0
twins,all_safe,makespan,2,6,3,55,7,10,70,88,840,3100,6840,14340,1036,3676,8036,16786,66,215,273,554,0
twins,all_safe,income,3,6,3,55,7,10,48,65,1000,3250,7000,14500,1102,3732,8102,16852,108,241,299,648,0
twins,all_safe,makespan,3,6,3,55,7,10,47,59,980,3220,6980,14480,1078,3698,8078,16828,108,244,300,652,0
twins,all_safe,income,4,6,3,55,7,10,39,57,1030,3280,7030,14530,1019,3649,8019,16769,156,272,333,761,0
twins,all_safe,makespan,4,6,3,55,8,11,37,55,1020,3270,7020,14520,1010,3640,8010,16760,156,274,330,760,0
